"Metric name","Metric description","GeForce RTX 3090(0)","GeForce RTX 3090(1)"
"lts__t_sectors_srcunit_l1_op_atom_dot_cas","# of LTS sectors from unit L1 for atomic CAS","1","1"
"lts__t_sectors_srcunit_l1_op_atom_dot_cas_lookup_hit","# of LTS sectors from unit L1 for atomic CAS that hit","1","1"
"lts__t_sectors_srcunit_l1_op_atom_dot_cas_lookup_miss","# of LTS sectors from unit L1 for atomic CAS that missed","1","1"
"lts__t_sectors_srcunit_l1_op_atom_lookup_hit","# of LTS sectors from unit L1 for all atomics that hit","1","1"
"lts__t_sectors_srcunit_l1_op_atom_lookup_miss","# of LTS sectors from unit L1 for all atomics that missed","1","1"
"lts__t_sectors_srcunit_l1_op_membar","# of LTS sectors from unit L1 for memory barriers","1","1"
"lts__t_sectors_srcunit_l1_op_membar_lookup_hit","# of LTS sectors from unit L1 for memory barriers that hit","1","1"
"lts__t_sectors_srcunit_l1_op_membar_lookup_miss","# of LTS sectors from unit L1 for memory barriers that missed","1","1"
"lts__t_sectors_srcunit_l1_op_read","# of LTS sectors from unit L1 for reads","1","1"
"lts__t_sectors_srcunit_l1_op_read_lookup_hit","# of LTS sectors from unit L1 for reads that hit","1","1"
"lts__t_sectors_srcunit_l1_op_read_lookup_miss","# of LTS sectors from unit L1 for reads that missed","1","1"
"lts__t_sectors_srcunit_l1_op_red","# of LTS sectors from unit L1 for reductions","1","1"
"lts__t_sectors_srcunit_l1_op_red_lookup_hit","# of LTS sectors from unit L1 for reductions that hit","1","1"
"lts__t_sectors_srcunit_l1_op_red_lookup_miss","# of LTS sectors from unit L1 for reductions that missed","1","1"
"lts__t_sectors_srcunit_l1_op_write","# of LTS sectors from unit L1 for writes","1","1"
"lts__t_sectors_srcunit_l1_op_write_lookup_hit","# of LTS sectors from unit L1 for writes that hit","1","1"
"lts__t_sectors_srcunit_l1_op_write_lookup_miss","# of LTS sectors from unit L1 for writes that missed","1","1"
"lts__t_sectors_srcunit_tex","# of LTS sectors from unit TEX","1","1"
"lts__t_sectors_srcunit_tex_aperture_device","# of LTS sectors from unit TEX accessing device memory (vidmem)","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_lookup_hit","# of LTS sectors from unit TEX accessing device memory (vidmem) that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_lookup_miss","# of LTS sectors from unit TEX accessing device memory (vidmem) that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_atom","# of LTS sectors from unit TEX accessing device memory (vidmem) for all atomics","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_alu","# of LTS sectors from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_alu_lookup_hit","# of LTS sectors from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_alu_lookup_miss","# of LTS sectors from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas","# of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas_lookup_hit","# of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas_lookup_miss","# of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_atom_lookup_hit","# of LTS sectors from unit TEX accessing device memory (vidmem) for all atomics that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_atom_lookup_miss","# of LTS sectors from unit TEX accessing device memory (vidmem) for all atomics that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_membar","# of LTS sectors from unit TEX accessing device memory (vidmem) for memory barriers","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_hit","# of LTS sectors from unit TEX accessing device memory (vidmem) for memory barriers that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_miss","# of LTS sectors from unit TEX accessing device memory (vidmem) for memory barriers that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_read","# of LTS sectors from unit TEX accessing device memory (vidmem) for reads","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_hit","# of LTS sectors from unit TEX accessing device memory (vidmem) for reads that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_miss","# of LTS sectors from unit TEX accessing device memory (vidmem) for reads that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_red","# of LTS sectors from unit TEX accessing device memory (vidmem) for reductions","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_hit","# of LTS sectors from unit TEX accessing device memory (vidmem) for reductions that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_miss","# of LTS sectors from unit TEX accessing device memory (vidmem) for reductions that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_write","# of LTS sectors from unit TEX accessing device memory (vidmem) for writes","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_hit","# of LTS sectors from unit TEX accessing device memory (vidmem) for writes that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_miss","# of LTS sectors from unit TEX accessing device memory (vidmem) for writes that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer","# of LTS sectors from unit TEX accessing peer memory (peermem)","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_lookup_hit","# of LTS sectors from unit TEX accessing peer memory (peermem) that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_lookup_miss","# of LTS sectors from unit TEX accessing peer memory (peermem) that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_atom","# of LTS sectors from unit TEX accessing peer memory (peermem) for all atomics","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu","# of LTS sectors from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_hit","# of LTS sectors from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_miss","# of LTS sectors from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas","# of LTS sectors from unit TEX accessing peer memory (peermem) for atomic CAS","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_hit","# of LTS sectors from unit TEX accessing peer memory (peermem) for atomic CAS that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_miss","# of LTS sectors from unit TEX accessing peer memory (peermem) for atomic CAS that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_hit","# of LTS sectors from unit TEX accessing peer memory (peermem) for all atomics that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_miss","# of LTS sectors from unit TEX accessing peer memory (peermem) for all atomics that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_membar","# of LTS sectors from unit TEX accessing peer memory (peermem) for memory barriers","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_hit","# of LTS sectors from unit TEX accessing peer memory (peermem) for memory barriers that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_miss","# of LTS sectors from unit TEX accessing peer memory (peermem) for memory barriers that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_read","# of LTS sectors from unit TEX accessing peer memory (peermem) for reads","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_hit","# of LTS sectors from unit TEX accessing peer memory (peermem) for reads that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss","# of LTS sectors from unit TEX accessing peer memory (peermem) for reads that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_red","# of LTS sectors from unit TEX accessing peer memory (peermem) for reductions","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_hit","# of LTS sectors from unit TEX accessing peer memory (peermem) for reductions that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_miss","# of LTS sectors from unit TEX accessing peer memory (peermem) for reductions that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_write","# of LTS sectors from unit TEX accessing peer memory (peermem) for writes","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_hit","# of LTS sectors from unit TEX accessing peer memory (peermem) for writes that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_miss","# of LTS sectors from unit TEX accessing peer memory (peermem) for writes that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem","# of LTS sectors from unit TEX accessing system memory (sysmem)","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_hit","# of LTS sectors from unit TEX accessing system memory (sysmem) that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_miss","# of LTS sectors from unit TEX accessing system memory (sysmem) that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom","# of LTS sectors from unit TEX accessing system memory (sysmem) for all atomics","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu","# of LTS sectors from unit TEX accessing system memory (sysmem) for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_hit","# of LTS sectors from unit TEX accessing system memory (sysmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_miss","# of LTS sectors from unit TEX accessing system memory (sysmem) for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas","# of LTS sectors from unit TEX accessing system memory (sysmem) for atomic CAS","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_hit","# of LTS sectors from unit TEX accessing system memory (sysmem) for atomic CAS that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_miss","# of LTS sectors from unit TEX accessing system memory (sysmem) for atomic CAS that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_hit","# of LTS sectors from unit TEX accessing system memory (sysmem) for all atomics that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_miss","# of LTS sectors from unit TEX accessing system memory (sysmem) for all atomics that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar","# of LTS sectors from unit TEX accessing system memory (sysmem) for memory barriers","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_hit","# of LTS sectors from unit TEX accessing system memory (sysmem) for memory barriers that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_miss","# of LTS sectors from unit TEX accessing system memory (sysmem) for memory barriers that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_read","# of LTS sectors from unit TEX accessing system memory (sysmem) for reads","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_hit","# of LTS sectors from unit TEX accessing system memory (sysmem) for reads that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss","# of LTS sectors from unit TEX accessing system memory (sysmem) for reads that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_red","# of LTS sectors from unit TEX accessing system memory (sysmem) for reductions","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_hit","# of LTS sectors from unit TEX accessing system memory (sysmem) for reductions that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_miss","# of LTS sectors from unit TEX accessing system memory (sysmem) for reductions that missed","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_write","# of LTS sectors from unit TEX accessing system memory (sysmem) for writes","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_hit","# of LTS sectors from unit TEX accessing system memory (sysmem) for writes that hit","1","1"
"lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_miss","# of LTS sectors from unit TEX accessing system memory (sysmem) for writes that missed","1","1"
"lts__t_sectors_srcunit_tex_lookup_hit","# of LTS sectors from unit TEX that hit","1","1"
"lts__t_sectors_srcunit_tex_lookup_miss","# of LTS sectors from unit TEX that missed","1","1"
"lts__t_sectors_srcunit_tex_op_atom","# of LTS sectors from unit TEX for all atomics","1","1"
"lts__t_sectors_srcunit_tex_op_atom_dot_alu","# of LTS sectors from unit TEX for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_hit","# of LTS sectors from unit TEX for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_miss","# of LTS sectors from unit TEX for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_srcunit_tex_op_atom_dot_cas","# of LTS sectors from unit TEX for atomic CAS","1","1"
"lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_hit","# of LTS sectors from unit TEX for atomic CAS that hit","1","1"
"lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_miss","# of LTS sectors from unit TEX for atomic CAS that missed","1","1"
"lts__t_sectors_srcunit_tex_op_atom_lookup_hit","# of LTS sectors from unit TEX for all atomics that hit","1","1"
"lts__t_sectors_srcunit_tex_op_atom_lookup_miss","# of LTS sectors from unit TEX for all atomics that missed","1","1"
"lts__t_sectors_srcunit_tex_op_membar","# of LTS sectors from unit TEX for memory barriers","1","1"
"lts__t_sectors_srcunit_tex_op_membar_lookup_hit","# of LTS sectors from unit TEX for memory barriers that hit","1","1"
"lts__t_sectors_srcunit_tex_op_membar_lookup_miss","# of LTS sectors from unit TEX for memory barriers that missed","1","1"
"lts__t_sectors_srcunit_tex_op_read","# of LTS sectors from unit TEX for reads","1","1"
"lts__t_sectors_srcunit_tex_op_read_lookup_hit","# of LTS sectors from unit TEX for reads that hit","1","1"
"lts__t_sectors_srcunit_tex_op_read_lookup_miss","# of LTS sectors from unit TEX for reads that missed","1","1"
"lts__t_sectors_srcunit_tex_op_red","# of LTS sectors from unit TEX for reductions","1","1"
"lts__t_sectors_srcunit_tex_op_red_lookup_hit","# of LTS sectors from unit TEX for reductions that hit","1","1"
"lts__t_sectors_srcunit_tex_op_red_lookup_miss","# of LTS sectors from unit TEX for reductions that missed","1","1"
"lts__t_sectors_srcunit_tex_op_write","# of LTS sectors from unit TEX for writes","1","1"
"lts__t_sectors_srcunit_tex_op_write_lookup_hit","# of LTS sectors from unit TEX for writes that hit","1","1"
"lts__t_sectors_srcunit_tex_op_write_lookup_miss","# of LTS sectors from unit TEX for writes that missed","1","1"
"lts__t_tag_requests","# of tag requests sent to LTS","1","1"
"lts__t_tag_requests_hit","# of LTS requests with tag hit","1","1"
"lts__t_tag_requests_miss","# of LTS requests with tag miss","1","1"
"lts__throughput","LTS throughput","1","1"
"lts__throughput_internal_activity","LTS throughput, internal activity","1","1"
"lts__xbar2lts_cycles_active","# of cycles where interface from XBAR to LTS was active","1","1"
"pcie__read_bytes","# of bytes of PCIe read data, at 512B granularity","1","1"
"pcie__write_bytes","# of bytes of PCIe write data, at 512B granularity","1","1"
"sm__average_thread_inst_executed_pred_on_per_inst_executed_realtime","average # of active predicated-on threads per instruction executed","1","1"
"sm__average_threads_launched_per_warp","# of threads launched per warp","1","1"
"sm__average_threads_launched_per_warp_shader_cs","average # of CS threads launched per CS warp","1","1"
"sm__ctas_active","cumulative # of CTAs in flight","1","1"
